"","p","pos","u","sim","target_fdr","method","empirical_fdr","power","n_selected"
"65154",200,100,0,54,0.2,"Zinck",0.69047619047619,0.433333333333333,42
"65155",200,100,0,55,0.2,"Zinck",0.1,0.3,10
"65156",200,100,0,56,0.2,"Zinck",0.25,0.5,20
"65157",200,100,0,57,0.2,"Zinck",0.2,0.266666666666667,10
"65158",200,100,0,58,0.2,"Zinck",0.392857142857143,0.566666666666667,28
"65159",200,100,0,59,0.2,"Zinck",0.419354838709677,0.6,31
"65160",200,100,0,60,0.2,"Zinck",0.28,0.6,25
"65161",200,100,0,61,0.2,"Zinck",0.391304347826087,0.466666666666667,23
"65162",200,100,0,62,0.2,"Zinck",0.176470588235294,0.466666666666667,17
"65163",200,100,0,63,0.2,"Zinck",0.392857142857143,0.566666666666667,28
"65164",200,100,0,64,0.2,"Zinck",0.0952380952380952,0.633333333333333,21
"65165",200,100,0,65,0.2,"Zinck",0.321428571428571,0.633333333333333,28
"65166",200,100,0,66,0.2,"Zinck",0.0769230769230769,0.4,13
"65167",200,100,0,67,0.2,"Zinck",0,0.333333333333333,10
"65168",200,100,0,68,0.2,"Zinck",0.2,0.533333333333333,20
"65169",200,100,0,69,0.2,"Zinck",0.28,0.6,25
"65170",200,100,0,70,0.2,"Zinck",0.214285714285714,0.366666666666667,14
"65171",200,100,0,71,0.2,"Zinck",0.318181818181818,0.5,22
"65172",200,100,0,72,0.2,"Zinck",0.28,0.6,25
"65173",200,100,0,73,0.2,"Zinck",0.304347826086957,0.533333333333333,23
